nirf_id,program_level,intake_year,first_year_intake,first_year_admitted,lateral_entry_year,lateral_entry_count,graduating_year,graduating_min_time,students_placed,median_salary,students_higher_studies
IR-E-C-1377,UG,2019-20,900,483,2020-21,35,2022-23,507,356,515000,25
IR-E-C-1377,UG,2020-21,960,495,2021-22,47,2023-24,489,391,575000,46
IR-E-C-1377,PG,2020-21,153,23,,,2021-22,22,7,400000,0
IR-E-C-1377,PG,2021-22,90,90,,,2022-23,90,67,450000,0
IR-E-C-1377,PG,2022-23,210,128,,,2023-24,127,86,505000,5
IR-E-C-16523,UG,2018-19,240,79,2019-20,0,2021-22,70,11,400010,5
IR-E-C-16523,UG,2019-20,240,62,2020-21,0,2022-23,41,32,180000,6
IR-E-C-16523,UG,2020-21,240,59,2021-22,0,2023-24,48,35,240000,6
IR-E-C-16523,PG,2020-21,36,15,,,2021-22,14,1,420000,0
IR-E-C-16523,PG,2021-22,36,35,,,2022-23,17,0,0,0
IR-E-C-16523,PG,2022-23,36,22,,,2023-24,16,0,0,0
IR-E-C-36975,UG,2018-19,720,667,2019-20,126,2021-22,736,532,500000,17
IR-E-C-36975,UG,2019-20,720,616,2020-21,172,2022-23,725,525,460000,11
IR-E-C-36975,UG,2020-21,720,612,2021-22,172,2023-24,728,358,460000,52
IR-E-C-36975,PG,2020-21,198,133,,,2021-22,117,74,450000,2
IR-E-C-36975,PG,2021-22,198,82,,,2022-23,80,35,460000,7
IR-E-C-36975,PG,2022-23,198,129,,,2023-24,127,40,460000,19
IR-E-C-36954,UG,2018-19,990,574,2019-20,123,2021-22,651,406,297000,15
IR-E-C-36954,UG,2019-20,960,663,2020-21,148,2022-23,716,573,290000,21
IR-E-C-36954,UG,2020-21,1080,794,2021-22,193,2023-24,840,649,385000,20
IR-E-C-36954,PG,2020-21,192,125,,,2021-22,121,55,320000,2
IR-E-C-36954,PG,2021-22,168,145,,,2022-23,143,79,280000,1
IR-E-C-36954,PG,2022-23,48,33,,,2023-24,25,20,380000,1
IR-E-C-16463,UG,2018-19,840,466,2019-20,51,2021-22,492,396,350000,21
IR-E-C-16463,UG,2019-20,780,328,2020-21,43,2022-23,355,300,350000,17
