nirf_id,academic_year,library,lab_equipment_software,engineering_workshops,studios,other_capital_assets
IR-E-C-37058,2021-22,870494,1154500,,,2138180
IR-E-C-37104,2023-24,1676384,4664954,,,3173523
IR-E-C-37104,2022-23,1531004,2566346,,,2949523
IR-E-C-37104,2021-22,1509505,209459,,,685827
IR-E-C-36956,2023-24,30543,111700,,,6772766
IR-E-C-36956,2022-23,13750,1567697,,,744528
IR-E-C-36956,2021-22,13750,682600,,,1054950
IR-E-C-16580,2021-22,403232,1094626,,,1035490
IR-E-C-16580,2020-21,71350,229010,,,47000
IR-E-C-16580,2019-20,908978,,,,
IR-E-C-37016,2023-24,255000,181451,,,703841
IR-E-C-37016,2022-23,,189272,,,
IR-E-C-37016,2021-22,,74591,,,
IR-E-C-37099,2023-24,1222191,11724740,,,36458567
IR-E-C-37099,2022-23,1312140,21189284,,,23031952
IR-E-C-37099,2021-22,1872145,11682248,,,40831027
IR-E-C-37063,2023-24,12345565,15942180,,,63241253
IR-E-C-37063,2022-23,11305115,13002543,,,46005829
IR-E-C-37063,2021-22,9095115,10004678,,,34235638
IR-E-C-36974,2022-23,40782,20919596,,,40000000
IR-E-C-36974,2021-22,119473,414750,,,30000
IR-E-C-36974,2020-21,230502,849965,,,40000
IR-E-C-37065,2024-25,8069488,26571881,,,84068471
IR-E-C-37065,2023-24,8780688,37147622,,,17632447
IR-E-C-37065,2022-23,8460327,38580214,,,23309109
IR-E-C-36926,2023-24,10681649,73368222,,,79448549
IR-E-C-36926,2022-23,6153596,92816967,,,40565726
IR-E-C-36926,2021-22,56649,17240592,,,2467504
IR-E-C-36958,2023-24,3132796,24018969,,,27004699
IR-E-C-36958,2022-23,2356291,9856056,,,14194566
IR-E-C-36958,2021-22,2063285,9782670,,,13795491
IR-E-C-37015,2023-24,490000,709000,,,25000000
IR-E-C-37015,2022-23,525000,897000,,,36155000
IR-E-C-37015,2021-22,420000,622000,,,40926000
IR-E-C-37089,2023-24,9418956,76960889,,,42527395
IR-E-C-37089,2022-23,7506018,43120708,,,22062874
IR-E-C-37089,2021-22,6055031,39784045,,,17724916
IR-E-C-37094,2023-24,2517461,1634719,,,6074703
IR-E-C-37094,2022-23,2605745,2151247,,,18979393
IR-E-C-37094,2021-22,1508350,328231,,,5698391
IR-E-C-37032,2023-24,2115310,8339513,,,2550161
IR-E-C-37032,2022-23,785633,6868241,,,983566
IR-E-C-37032,2021-22,273752,790041,,,871914
IR-E-C-36947,2023-24,1724718,65716427,,,29095471
IR-E-C-36947,2022-23,3557180,38309539,,,5957166
IR-E-C-36947,2021-22,2530987,20555947,,,4849811
IR-E-C-37080,2023-24,4211146,8324905,,,59262385
IR-E-C-37080,2022-23,5395550,7825321,,,11278566
IR-E-C-37080,2021-22,7928830,8416253,,,19523860
IR-E-C-36938,2023-24,610530,106768,,,1167017
IR-E-C-36938,2022-23,1686786,2600500,,,875000
IR-E-C-36938,2021-22,1728037,1310189,,,3090856
IR-E-C-37031,2022-23,40780,,,,417494
IR-E-C-37031,2021-22,,,,,16419
IR-E-C-37031,2020-21,,,,,163843
IR-E-C-37036,2023-24,31078570,503057680,,,299087345
IR-E-C-37036,2022-23,1374560,83421085,,,10608756
IR-E-C-37036,2021-22,918759,75570193,,,15405927
IR-E-C-37035,2023-24,5406218,23882935,,,43169048
IR-E-C-37035,2022-23,2442865,19023834,,,11826224
IR-E-C-37035,2021-22,1114883,11136857,,,9779707
IR-E-C-36929,2023-24,3159256,10658132,,,18886290
IR-E-C-36929,2022-23,2443345,18454813,,,6499613
IR-E-C-36929,2021-22,1957252,2221246,,,651880
IR-E-C-37057,2023-24,1894187,23443625,,,120983563
IR-E-C-37057,2022-23,1826945,12851266,,,31760624
IR-E-C-37057,2021-22,689153,2054266,,,9485576
IR-E-C-37041,2023-24,565175,9042000,,,5003500
IR-E-C-37041,2022-23,991224,2068612,,,2788366
