nirf_id,academic_year,library,lab_equipment_software,engineering_workshops,studios,other_capital_assets
IR-E-C-16619,2023-24,555754,1220442,,,23290554
IR-E-C-16619,2022-23,309000,1057000,,,12940000
IR-E-C-16571,2023-24,612000,511526,,,5290230
IR-E-C-16571,2022-23,333217,252148,,,500000
IR-E-C-16571,2021-22,458000,300000,,,2300000
IR-E-C-16539,2021-22,923737,1100400,,,9030468
IR-E-C-16539,2020-21,1154672,1375500,,,11288085
IR-E-C-16539,2019-20,1293790,1670250,,,13706961
IR-E-C-16560,2023-24,7716431,43510072,,,22497649
IR-E-C-16560,2022-23,3475169,48254195,,,15898795
IR-E-C-16560,2021-22,3064300,15422189,,,16560168
IR-E-C-16618,2023-24,3490547,15045325,,,880375
IR-E-C-16618,2022-23,6700128,16323245,,,36078321
IR-E-C-16618,2021-22,6682561,16062245,,,34078451
IR-E-C-16525,2018-19,7661000,9426000,,,12280000
IR-E-C-16525,2017-18,8245000,12200000,,,18300000
IR-E-C-16525,2016-17,8850000,12500000,,,17100000
IR-E-C-16480,2023-24,2083921,2701868,,,85973522
IR-E-C-16480,2022-23,2324793,1567250,,,10154268
IR-E-C-16480,2021-22,2322906,6204509,,,3965402
IR-E-C-16611,2023-24,3485117,6354644,,,10434019
IR-E-C-16611,2022-23,1884910,6167019,,,12522240
IR-E-C-16611,2021-22,1308569,13848711,,,33368822
IR-E-C-16604,2023-24,7236493,44722965,,,82493126
IR-E-C-16604,2022-23,6725849,35256454,,,66917321
IR-E-C-16604,2021-22,6454349,27910253,,,66125402
IR-E-I-1078,2023-24,9449300,18570640,,,33665200
IR-E-I-1078,2022-23,8999420,16148384,,,29274154
IR-E-I-1078,2021-22,8181291,13685071,,,24395128
IR-E-C-16617,2023-24,450354,352653,,,508526
IR-E-C-16617,2022-23,96974,234977,,,210211
IR-E-C-16617,2021-22,91976,195728,,,155670
IR-E-C-16530,2023-24,744743,485000,,,510000
IR-E-C-16530,2022-23,634872,461750,,,12613301
IR-E-C-16530,2021-22,525000,500000,,,11278546
IR-E-C-16625,2023-24,2879929,12204140,,,58528964
IR-E-C-16625,2022-23,834710,438903,,,51325836
IR-E-C-16625,2021-22,1395890,3727675,,,2456472
IR-E-C-16549,2023-24,147300,2605000,,,30082691
IR-E-C-16549,2022-23,417004,507517,,,9066329
IR-E-C-16549,2021-22,275166,867300,,,1340296
IR-E-C-16576,2023-24,3781144,30031391,,,34498793
IR-E-C-16576,2022-23,4104123,15359247,,,7190180
IR-E-C-16576,2021-22,6530749,11009859,,,9257979
IR-E-C-16567,2022-23,448390,10686745,,,1563431
IR-E-C-16567,2021-22,101648,14562105,,,15755957
IR-E-C-16567,2020-21,293050,2326974,,,2362092
IR-E-C-16521,2021-22,400000,2500000,,,2000000
IR-E-C-16521,2020-21,400000,3100000,,,3000000
IR-E-C-16521,2019-20,400000,3100000,,,3000000
IR-E-C-16543,2023-24,389020,8973841,,,2103984
IR-E-C-16543,2022-23,495000,2296337,,,247785
IR-E-C-16543,2021-22,742395,823730,,,275000
IR-E-C-16599,2023-24,1523864,3357553,,,1083001
IR-E-C-16599,2022-23,1725626,4749717,,,1800705
IR-E-C-16599,2021-22,,702609,,,
IR-E-C-16468,2023-24,5236616,83246254,,,200762901
IR-E-C-16468,2022-23,5912562,4547066,,,21644986
IR-E-C-16468,2021-22,586663,33315536,,,37312605
IR-E-C-16504,2020-21,7119458,29606456,,,16356589
IR-E-C-16577,2023-24,120674,1600073,,,18096930
IR-E-C-16577,2022-23,75994,1449004,,,346845
IR-E-C-16577,2021-22,22349,1995669,,,287366
IR-E-C-16541,2021-22,650000,1500000,,,407408
IR-E-C-16541,2020-21,122247,1500000,,,313171
IR-E-C-16541,2019-20,342745,873386,,,462819
IR-E-C-16624,2023-24,117807,23988351,,,6433370
IR-E-C-16624,2022-23,283678,4470444,,,251550
IR-E-C-16624,2021-22,143331,14051944,,,704745
IR-E-C-16486,2023-24,19745,,,,15000
IR-E-C-16486,2022-23,,,,,
IR-E-C-16486,2021-22,,,,,
IR-E-C-16615,2022-23,246380,1420726,,,25081943
IR-E-C-16615,2021-22,2619638,1298426,,,220000
IR-E-C-16615,2020-21,380661,392732,,,118000
IR-E-C-16515,2017-18,,,,,
IR-E-C-16515,2016-17,,,,,
IR-E-C-16515,2015-16,,,,,
IR-E-C-36969,2023-24,5079388,2059313,,,11969393
IR-E-C-36969,2022-23,5040468,1960361,,,8349842
IR-E-C-36969,2021-22,2203206,1350101,,,2076655
IR-E-C-36990,2022-23,228749,299870,,,
IR-E-C-36990,2021-22,42600,,,,
IR-E-C-36990,2020-21,20000,,,,
IR-E-C-27076,2022-23,160890,136817,,,48122
IR-E-C-27076,2021-22,102400,51800,,,243300
IR-E-C-27076,2020-21,119500,,,,232500
IR-O-C-36937,2023-24,1298958,5753733,72500,,1230611
IR-O-C-36937,2022-23,1173020,9794743,62500,,975000
IR-O-C-36937,2021-22,1068603,7391311,52000,,557740
IR-O-C-37031,2023-24,209734,342744,,,1190033
IR-O-C-37031,2022-23,40780,,,,417494
IR-O-C-37031,2021-22,,,,,16419
IR-M-C-16488,2019-20,70331,,,,35200
IR-M-C-16488,2018-19,,,,,
IR-M-C-16488,2017-18,,,,,
IR-E-C-16554,2024-25,619875,2763700,,,1878000
IR-E-C-16554,2023-24,397045,644221,,,104402
IR-E-C-16554,2022-23,2701086,486024,,,102849
IR-E-C-37105,2024-25,2280343,9017207,,,14040388
IR-E-C-37105,2023-24,2092739,17304892,,,2404997
IR-E-C-37105,2022-23,1555655,4792610,,,2857651
IR-E-C-16521,2023-24,500000,2000000,,,2000000
IR-E-C-16521,2022-23,500000,1000000,,,100000
IR-E-C-16580,2024-25,1160996,4307511,,,29933291
IR-E-C-16580,2023-24,101423,267102,,,13857560
IR-E-C-16580,2022-23,861191,881415,,,1285713
IR-E-C-27076,2024-25,190220,22687,,,628973
IR-E-C-27076,2023-24,166640,207000,,,428188
IR-E-C-25066,2024-25,275360,544481,,,6938902
IR-E-C-25066,2023-24,60970,185531,,,6655895
IR-E-C-25066,2022-23,18925,605700,,,10264778
IR-E-C-26785,2024-25,870763,16303325,,,8838786
IR-E-C-26785,2023-24,913071,8457419,,,8435855
IR-E-C-26797,2024-25,105439,410524,,,290515
IR-E-C-26797,2023-24,105439,410524,,,75060
IR-E-C-16488,2024-25,350718,509724,,,754845
IR-E-C-16488,2023-24,669959,1326725,,,
IR-E-C-16488,2022-23,728770,,,,
IR-E-C-26795,2024-25,730074,7001727,,,3675258
IR-E-C-26795,2023-24,475405,854884,,,2288989
IR-E-C-27041,2024-25,1421890,4207211,,,7885459
IR-E-C-27041,2023-24,1522007,3959542,,,4840375
IR-E-C-27041,2022-23,1275531,5279681,,,10530619
IR-E-C-16526,2023-24,2402400,2550500,,,7000000
IR-E-C-16526,2022-23,2222300,2002000,,,6400000
IR-E-C-16526,2021-22,1565000,1400000,,,4800000
IR-E-C-25028,2024-25,6729694,52242472,,,231299162
IR-E-C-25028,2023-24,3392469,15823110,,,68190675
IR-E-C-26807,2024-25,858175,5925397,,,19818
IR-E-C-26807,2023-24,819849,5137490,,,
IR-E-C-16541,2024-25,1271840,2254012,,,2696654
IR-E-C-16541,2023-24,1206995,2121769,,,1919339
IR-E-C-16541,2022-23,645000,1900000,,,1254961
IR-O-C-24992,2023-24,438824,3552838,32010,,888098
IR-O-C-24992,2022-23,638208,5247494,42999,,9393999
IR-O-C-24992,2021-22,780907,2288360,15693,,82609
IR-O-C-37031,2024-25,243690,830738,14500,,6171420
