id,counselling_code,branch,year,oc,bc,bcm,mbc,sc,sca,st
152,1133,MECHANICAL ENGINEERING,2021,"136,756*",—,—,—,—,—,—
153,1137,CIVIL ENGINEERING,2021,"99,419","135,338*","123,693*",—,"125,521*",—,—
154,1137,COMPUTER SCIENCE AND ENGINEERING,2021,"62,160","90,129","106,845",—,"111,049","125,841",—
155,1137,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"131,831*",—,—,—,—,—,—
156,1137,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"126,447",—,—,—,"131,476*","136,385","129,821"
157,1137,MECHANICAL ENGINEERING,2021,"129,031*",—,—,—,—,—,—
158,1140,Artificial Intelligence and Data Science,2021,"38,092","43,261","57,261","53,933","107,874","82,398",—
159,1140,COMPUTER SCIENCE AND ENGINEERING,2021,"29,440","33,497","40,934","52,822","88,143","66,341",—
160,1140,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"44,524","50,708","63,578",—,"122,832",—,—
161,1140,INFORMATION TECHNOLOGY,2021,"37,251","43,382","55,569","44,557","82,683",—,—
162,1140,MECHANICAL ENGINEERING,2021,"93,060","106,053","105,076","93,339",—,—,—
163,1149,Artificial Intelligence and Data Science,2021,"23,859","28,311","42,932","29,565","82,561",—,—
164,1149,COMPUTER SCIENCE AND ENGINEERING,2021,"16,935","23,014","37,588","24,127","64,308","102,482*",—
165,1149,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"46,469","55,432","71,872","53,193","131,110",—,—
166,1149,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"32,627","41,685","65,525","38,817","96,973",—,—
167,1149,INFORMATION TECHNOLOGY,2021,"22,352","26,334","33,792","33,804","76,987",—,—
168,1149,MECHANICAL ENGINEERING,2021,"72,418","89,178","96,283","75,514","135,332*",—,—
169,1150,AGRICULTURE ENGINEERING,2021,"136,581*",—,—,—,—,—,—
170,1150,BIO MEDICAL ENGINEERING,2021,"136,044*",—,—,—,—,—,—
