nirf_id,financial_year,total_projects,total_funding_agencies,total_amount_received
IR-E-C-37003,2018-19,0,0,0
IR-E-C-39247,2024-25,47,7,40718097
IR-E-C-39247,2023-24,0,0,0
IR-E-C-39247,2022-23,0,0,0
IR-E-C-37000,2023-24,11,9,7418000
IR-E-C-37000,2022-23,0,0,0
IR-E-C-37000,2021-22,0,0,0
IR-E-C-16490,2023-24,7,7,1017600
IR-E-C-16490,2022-23,0,0,0
IR-E-C-16490,2021-22,0,0,0
IR-E-C-46528,2023-24,0,0,0
IR-E-C-46528,2022-23,0,0,0
IR-E-C-46528,2021-22,0,0,0
IR-E-C-36980,2022-23,0,0,0
IR-E-C-36980,2021-22,0,0,0
IR-E-C-36980,2020-21,0,0,0
IR-E-C-36966,2023-24,3,3,2243500
IR-E-C-36966,2022-23,0,0,0
IR-E-C-36966,2021-22,0,0,0
IR-E-C-37028,2023-24,8,8,33256900
IR-E-C-37028,2022-23,0,0,0
IR-E-C-37028,2021-22,0,0,0
IR-E-C-37022,2023-24,10,5,7177000
IR-E-C-37022,2022-23,0,0,0
IR-E-C-37022,2021-22,0,0,0
IR-E-C-36944,2023-24,20,15,5478397
IR-E-C-36944,2022-23,0,0,0
IR-E-C-36944,2021-22,0,0,0
IR-E-C-37074,2023-24,4,3,520000
IR-E-C-37074,2022-23,0,0,0
IR-E-C-37074,2021-22,0,0,0
IR-E-C-37068,2023-24,0,0,0
IR-E-C-37068,2022-23,0,0,0
IR-E-C-37068,2021-22,0,0,0
IR-E-C-37006,2023-24,9,5,177500
IR-E-C-37006,2022-23,0,0,0
IR-E-C-37006,2021-22,0,0,0
IR-E-C-37004,2023-24,2,1,230000
IR-E-C-37004,2022-23,0,0,0
IR-E-C-37004,2021-22,0,0,0
IR-E-C-36930,2023-24,8,4,247500
IR-E-C-36930,2022-23,0,0,0
IR-E-C-36930,2021-22,0,0,0
IR-E-C-36970,2021-22,5,1,37500
IR-E-C-36970,2020-21,0,0,0
IR-E-C-36970,2019-20,0,0,0
IR-E-C-37026,2023-24,6,4,60000
IR-E-C-37026,2022-23,0,0,0
IR-E-C-37026,2021-22,0,0,0
IR-E-C-37061,2023-24,5,5,726000
IR-E-C-37061,2022-23,0,0,0
IR-E-C-37061,2021-22,0,0,0
IR-E-C-37076,2023-24,0,0,0
IR-E-C-37076,2022-23,0,0,0
IR-E-C-37076,2021-22,0,0,0
IR-E-C-37029,2023-24,5,5,820000
IR-E-C-37029,2022-23,0,0,0
IR-E-C-37029,2021-22,0,0,0
IR-E-C-36941,2023-24,0,0,0
IR-E-C-36941,2022-23,0,0,0
IR-E-C-36941,2021-22,0,0,0
IR-E-C-36951,2023-24,8,8,1316000
IR-E-C-36951,2022-23,0,0,0
IR-E-C-36951,2021-22,0,0,0
IR-E-C-37058,2023-24,7,2,57500
IR-E-C-37058,2022-23,0,0,0
IR-E-C-37058,2021-22,0,0,0
IR-E-C-37104,2023-24,4,4,692240
IR-E-C-37104,2022-23,0,0,0
IR-E-C-37104,2021-22,0,0,0
IR-E-C-36956,2023-24,2,2,65000
IR-E-C-36956,2022-23,0,0,0
IR-E-C-36956,2021-22,0,0,0
IR-E-C-16580,2021-22,0,0,0
IR-E-C-16580,2020-21,0,0,0
IR-E-C-16580,2019-20,0,0,0
IR-E-C-37016,2023-24,8,5,240000
IR-E-C-37016,2022-23,0,0,0
IR-E-C-37016,2021-22,0,0,0
IR-E-C-37099,2023-24,16,7,3544780
IR-E-C-37099,2022-23,0,0,0
IR-E-C-37099,2021-22,0,0,0
IR-E-C-37063,2023-24,44,26,14569272
IR-E-C-37063,2022-23,0,0,0
IR-E-C-37063,2021-22,0,0,0
IR-E-C-36974,2022-23,2,1,20000
IR-E-C-36974,2021-22,0,0,0
IR-E-C-36974,2020-21,0,0,0
IR-E-C-37065,2024-25,32,15,4652906
IR-E-C-37065,2023-24,0,0,0
IR-E-C-37065,2022-23,0,0,0
IR-E-C-36926,2023-24,45,34,90092261
IR-E-C-36926,2022-23,0,0,0
IR-E-C-36926,2021-22,0,0,0
IR-E-C-36958,2023-24,9,3,8805000
IR-E-C-36958,2022-23,0,0,0
IR-E-C-36958,2021-22,0,0,0
IR-E-C-37015,2023-24,1,1,7500
IR-E-C-37015,2022-23,0,0,0
IR-E-C-37015,2021-22,0,0,0
IR-E-C-37089,2023-24,45,38,29563254
IR-E-C-37089,2022-23,0,0,0
IR-E-C-37089,2021-22,0,0,0
IR-E-C-37094,2023-24,9,7,692394
IR-E-C-37094,2022-23,0,0,0
IR-E-C-37094,2021-22,0,0,0
IR-E-C-37032,2023-24,8,5,74120
IR-E-C-37032,2022-23,0,0,0
IR-E-C-37032,2021-22,0,0,0
IR-E-C-36947,2023-24,32,32,24132000
IR-E-C-36947,2022-23,0,0,0
IR-E-C-36947,2021-22,0,0,0
IR-E-C-37080,2023-24,48,43,15763700
IR-E-C-37080,2022-23,0,0,0
IR-E-C-37080,2021-22,0,0,0
IR-E-C-36938,2023-24,12,12,4957520
IR-E-C-36938,2022-23,0,0,0
IR-E-C-36938,2021-22,0,0,0
IR-E-C-37031,2022-23,0,0,0
IR-E-C-37031,2021-22,0,0,0
IR-E-C-37031,2020-21,0,0,0
IR-E-C-37036,2023-24,68,61,13587155
IR-E-C-37036,2022-23,0,0,0
IR-E-C-37036,2021-22,0,0,0
IR-E-C-37035,2023-24,0,0,0
IR-E-C-37035,2022-23,0,0,0
IR-E-C-37035,2021-22,0,0,0
IR-E-C-36929,2023-24,2,2,1089000
IR-E-C-36929,2022-23,0,0,0
IR-E-C-36929,2021-22,0,0,0
IR-E-C-37057,2023-24,7,5,3560000
IR-E-C-37057,2022-23,0,0,0
IR-E-C-37057,2021-22,0,0,0
IR-E-C-37041,2023-24,0,0,0
IR-E-C-37041,2022-23,0,0,0
IR-E-C-37041,2021-22,0,0,0
IR-E-C-37087,2024-25,0,0,0
IR-E-C-37087,2023-24,0,0,0
IR-E-C-37087,2022-23,0,0,0
IR-E-C-37070,2023-24,17,7,1352500
IR-E-C-37070,2022-23,0,0,0
IR-E-C-37070,2021-22,0,0,0
IR-E-C-36989,2023-24,3,1,22000
IR-E-C-36989,2022-23,0,0,0
IR-E-C-36989,2021-22,0,0,0
IR-E-C-37038,2023-24,3,1,30000
IR-E-C-37038,2022-23,0,0,0
IR-E-C-37038,2021-22,0,0,0
IR-E-C-16511,2023-24,5,2,47500
IR-E-C-16511,2022-23,0,0,0
IR-E-C-16511,2021-22,0,0,0
IR-E-C-37043,2022-23,2,2,620500
IR-E-C-37043,2021-22,0,0,0
IR-E-C-37043,2020-21,0,0,0
IR-E-C-37090,2023-24,17,8,3015000
IR-E-C-37090,2022-23,0,0,0
IR-E-C-37090,2021-22,0,0,0
IR-E-C-37051,2023-24,1,1,7500
IR-E-C-37051,2022-23,0,0,0
IR-E-C-37051,2021-22,0,0,0
IR-E-C-37021,2023-24,9,7,2602380
IR-E-C-37021,2022-23,0,0,0
IR-E-C-37021,2021-22,0,0,0
IR-E-C-36985,2023-24,3,1,30000
IR-E-C-36985,2022-23,0,0,0
IR-E-C-36985,2021-22,0,0,0
IR-E-C-36999,2023-24,15,11,10257240
IR-E-C-36999,2022-23,0,0,0
IR-E-C-36999,2021-22,0,0,0
IR-E-C-37055,2022-23,3,3,265000
IR-E-C-37055,2021-22,0,0,0
IR-E-C-37055,2020-21,0,0,0
IR-E-C-37001,2023-24,14,7,4200000
IR-E-C-37001,2022-23,0,0,0
IR-E-C-37001,2021-22,0,0,0
IR-E-C-25020,2023-24,2,1,15000
IR-E-C-25020,2022-23,0,0,0
IR-E-C-25020,2021-22,0,0,0
IR-E-C-25014,2023-24,14,10,2337040
IR-E-C-25014,2022-23,0,0,0
IR-E-C-25014,2021-22,0,0,0
IR-E-C-24999,2022-23,5,2,100000
IR-E-C-24999,2021-22,0,0,0
IR-E-C-24999,2020-21,0,0,0
IR-E-C-49138,2023-24,1,1,10000
IR-E-C-49138,2022-23,0,0,0
IR-E-C-49138,2021-22,0,0,0
IR-E-C-49141,2024-25,0,0,0
IR-E-C-49141,2023-24,0,0,0
IR-E-C-49141,2022-23,0,0,0
IR-E-C-49142,2023-24,1,1,3800000
IR-E-C-49142,2022-23,0,0,0
IR-E-C-49142,2021-22,0,0,0
IR-E-C-25054,2022-23,10,10,3974303
IR-E-C-25054,2021-22,0,0,0
IR-E-C-25054,2020-21,0,0,0
IR-E-C-25002,2023-24,0,0,0
IR-E-C-25002,2022-23,0,0,0
IR-E-C-25002,2021-22,0,0,0
IR-E-C-25016,2023-24,0,0,0
IR-E-C-25016,2022-23,0,0,0
IR-E-C-25016,2021-22,0,0,0
IR-E-C-25007,2023-24,5,2,47500
IR-E-C-25007,2022-23,0,0,0
IR-E-C-25007,2021-22,0,0,0
IR-E-C-25028,2022-23,0,0,0
IR-E-C-25028,2021-22,0,0,0
IR-E-C-25028,2020-21,0,0,0
IR-E-C-25004,2024-25,6,1,52500
IR-E-C-25004,2023-24,0,0,0
IR-E-C-25004,2022-23,0,0,0
IR-E-C-24993,2023-24,3,2,32500
IR-E-C-24993,2022-23,0,0,0
IR-E-C-24993,2021-22,0,0,0
IR-E-C-24984,2023-24,5,1,35000
IR-E-C-24984,2022-23,0,0,0
IR-E-C-24984,2021-22,0,0,0
IR-E-C-50925,2023-24,2,1,700000
IR-E-C-50925,2022-23,0,0,0
IR-E-C-50925,2021-22,0,0,0
IR-E-C-25012,2023-24,0,0,0
IR-E-C-25012,2022-23,0,0,0
IR-E-C-25012,2021-22,0,0,0
IR-E-C-25046,2023-24,4,2,1122500
IR-E-C-25046,2022-23,0,0,0
IR-E-C-25046,2021-22,0,0,0
IR-E-U-0443,2023-24,12,8,40393787
IR-E-U-0443,2022-23,0,0,0
IR-E-U-0443,2021-22,0,0,0
IR-E-C-25010,2023-24,1,1,7500
IR-E-C-25010,2022-23,0,0,0
IR-E-C-25010,2021-22,0,0,0
IR-E-C-25006,2024-25,18,13,2006959
IR-E-C-25006,2023-24,0,0,0
IR-E-C-25006,2022-23,0,0,0
IR-E-C-25022,2023-24,1,1,7000
IR-E-C-25022,2022-23,0,0,0
IR-E-C-25022,2021-22,0,0,0
IR-E-C-16537,2024-25,23,10,11082096
IR-E-C-16537,2023-24,0,0,0
IR-E-C-16537,2022-23,0,0,0
IR-E-I-1119,2023-24,1,1,50000
IR-E-I-1119,2022-23,0,0,0
IR-E-I-1119,2021-22,0,0,0
IR-E-C-25043,2022-23,0,0,0
IR-E-C-25043,2021-22,0,0,0
IR-E-C-25043,2020-21,0,0,0
IR-E-C-25031,2023-24,0,0,0
IR-E-C-25031,2022-23,0,0,0
IR-E-C-25031,2021-22,0,0,0
IR-E-C-25069,2023-24,0,0,0
IR-E-C-25069,2022-23,0,0,0
IR-E-C-25069,2021-22,0,0,0
IR-E-C-16503,2023-24,1,1,2387000
IR-E-C-16503,2022-23,0,0,0
IR-E-C-16503,2021-22,0,0,0
IR-E-C-25005,2023-24,0,0,0
IR-E-C-25005,2022-23,0,0,0
IR-E-C-25005,2021-22,0,0,0
IR-E-C-25062,2024-25,3,2,380000
IR-E-C-25062,2023-24,0,0,0
IR-E-C-25062,2022-23,0,0,0
IR-E-C-25038,2023-24,6,2,55000
IR-E-C-25038,2022-23,0,0,0
IR-E-C-25038,2021-22,0,0,0
IR-E-C-25024,2023-24,4,2,311000
IR-E-C-25024,2022-23,0,0,0
IR-E-C-25024,2021-22,0,0,0
IR-E-C-27035,2024-25,0,0,0
IR-E-C-27035,2023-24,0,0,0
IR-E-C-27035,2022-23,0,0,0
IR-E-C-48273,2023-24,25,15,8270000
IR-E-C-48273,2022-23,0,0,0
IR-E-C-48273,2021-22,0,0,0
IR-E-C-60622,2023-24,5,3,355000
IR-E-C-60622,2022-23,0,0,0
IR-E-C-60622,2021-22,0,0,0
IR-E-C-49144,2023-24,12,7,3712100
IR-E-C-49144,2022-23,0,0,0
IR-E-C-49144,2021-22,0,0,0
IR-E-C-27074,2023-24,1,1,10000
IR-E-C-27074,2022-23,0,0,0
IR-E-C-27074,2021-22,0,0,0
IR-E-C-27064,2022-23,22,4,8751000
IR-E-C-27064,2021-22,0,0,0
IR-E-C-27064,2020-21,0,0,0
IR-E-C-27071,2023-24,16,7,6267980
IR-E-C-27071,2022-23,0,0,0
IR-E-C-27071,2021-22,0,0,0
IR-E-C-16620,2023-24,1,1,70000
IR-E-C-16620,2022-23,0,0,0
IR-E-C-16620,2021-22,0,0,0
IR-E-C-27061,2023-24,18,10,5260000
IR-E-C-27061,2022-23,0,0,0
IR-E-C-27061,2021-22,0,0,0
IR-E-C-27093,2023-24,0,0,0
IR-E-C-27093,2022-23,0,0,0
IR-E-C-27093,2021-22,0,0,0
IR-E-C-27038,2023-24,2,1,15000
IR-E-C-27038,2022-23,0,0,0
IR-E-C-27038,2021-22,0,0,0
IR-E-C-16626,2023-24,23,14,83142730
IR-E-C-16626,2022-23,0,0,0
IR-E-C-16626,2021-22,0,0,0
IR-E-C-27091,2023-24,5,3,3530220
IR-E-C-27091,2022-23,0,0,0
IR-E-C-27091,2021-22,0,0,0
IR-E-C-27075,2024-25,16,3,2463463
IR-E-C-27075,2023-24,0,0,0
IR-E-C-27075,2022-23,0,0,0
IR-E-C-27058,2023-24,16,16,21744923
IR-E-C-27058,2022-23,0,0,0
IR-E-C-27058,2021-22,0,0,0
IR-E-C-27041,2023-24,0,0,0
IR-E-C-27041,2022-23,0,0,0
IR-E-C-27082,2023-24,33,15,6927680
IR-E-C-27082,2022-23,0,0,0
IR-E-C-27082,2021-22,0,0,0
IR-E-C-6580,2023-24,0,0,0
IR-E-C-6580,2022-23,0,0,0
IR-E-C-6580,2021-22,0,0,0
IR-E-C-27095,2023-24,0,0,0
IR-E-C-27095,2022-23,0,0,0
IR-E-C-27095,2021-22,0,0,0
IR-E-C-27077,2023-24,0,0,0
IR-E-C-27077,2022-23,0,0,0
IR-E-C-27077,2021-22,0,0,0
IR-E-C-27084,2023-24,0,0,0
IR-E-C-27084,2022-23,0,0,0
IR-E-C-27084,2021-22,0,0,0
IR-E-C-27032,2023-24,2,2,430000
IR-E-C-27032,2022-23,0,0,0
IR-E-C-27032,2021-22,0,0,0
IR-E-C-16590,2024-25,2,2,4525000
IR-E-C-16590,2023-24,0,0,0
IR-E-C-16590,2022-23,0,0,0
IR-E-C-27087,2022-23,0,0,0
IR-E-C-27087,2021-22,0,0,0
IR-E-C-27087,2020-21,0,0,0
IR-E-C-27051,2023-24,2,1,8277130
IR-E-C-27051,2022-23,0,0,0
IR-E-C-27051,2021-22,0,0,0
IR-E-C-26794,2023-24,11,5,9754272
IR-E-C-26794,2022-23,0,0,0
IR-E-C-26794,2021-22,0,0,0
IR-E-C-51677,2023-24,4,4,1570834
IR-E-C-51677,2022-23,0,0,0
IR-E-C-51677,2021-22,0,0,0
IR-E-C-16491,2022-23,3,2,1700000
IR-E-C-16491,2021-22,0,0,0
IR-E-C-16491,2020-21,0,0,0
IR-E-C-45320,2023-24,5,2,3000000
IR-E-C-45320,2022-23,0,0,0
IR-E-C-45320,2021-22,0,0,0
IR-E-C-49137,2024-25,5,5,2240562
IR-E-C-49137,2023-24,0,0,0
IR-E-C-49137,2022-23,0,0,0
IR-E-C-26811,2023-24,0,0,0
IR-E-C-26811,2022-23,0,0,0
IR-E-C-26811,2021-22,0,0,0
IR-E-C-56319,2024-25,0,0,0
IR-E-C-56319,2023-24,0,0,0
IR-E-C-56319,2022-23,0,0,0
IR-E-C-26789,2023-24,18,4,2721560
IR-E-C-26789,2022-23,0,0,0
IR-E-C-26789,2021-22,0,0,0
IR-E-C-26785,2022-23,0,0,0
IR-E-C-26785,2021-22,0,0,0
IR-E-C-26785,2020-21,0,0,0
IR-E-C-26795,2022-23,0,0,0
IR-E-C-26795,2021-22,0,0,0
IR-E-C-26795,2020-21,0,0,0
IR-E-C-26783,2023-24,7,6,1720114
IR-E-C-26783,2022-23,0,0,0
IR-E-C-26783,2021-22,0,0,0
IR-E-C-16572,2023-24,48,11,22517541
IR-E-C-16572,2022-23,0,0,0
IR-E-C-16572,2021-22,0,0,0
IR-E-C-26814,2023-24,2,0,431000
IR-E-C-26814,2022-23,0,0,0
IR-E-C-26814,2021-22,0,0,0
IR-E-C-26808,2023-24,1,1,10000
IR-E-C-26808,2022-23,0,0,0
IR-E-C-26808,2021-22,0,0,0
IR-E-C-26807,2022-23,0,0,0
IR-E-C-26807,2021-22,0,0,0
IR-E-C-26807,2020-21,0,0,0
IR-E-C-26784,2023-24,0,0,0
IR-E-C-26784,2022-23,0,0,0
IR-E-C-26784,2021-22,0,0,0
IR-E-C-26781,2023-24,12,7,11656100
IR-E-C-26781,2022-23,0,0,0
IR-E-C-26781,2021-22,0,0,0
IR-E-C-16594,2022-23,0,0,0
IR-E-C-16594,2021-22,0,0,0
IR-E-C-16594,2020-21,0,0,0
IR-E-C-26797,2022-23,0,0,0
IR-E-C-26797,2021-22,0,0,0
IR-E-C-26797,2020-21,0,0,0
IR-E-C-16518,2023-24,3,2,1270000
IR-E-C-16518,2022-23,0,0,0
IR-E-C-16518,2021-22,0,0,0
IR-E-C-16550,2023-24,7,2,2287100
IR-E-C-16550,2022-23,0,0,0
IR-E-C-16550,2021-22,0,0,0
IR-E-C-16465,2024-25,0,0,0
IR-E-C-16465,2023-24,0,0,0
IR-E-C-16465,2022-23,0,0,0
IR-E-C-16619,2024-25,0,0,0
IR-E-C-16619,2023-24,0,0,0
IR-E-C-16619,2022-23,0,0,0
IR-E-C-16571,2023-24,0,0,0
IR-E-C-16571,2022-23,0,0,0
IR-E-C-16571,2021-22,0,0,0
IR-E-C-16539,2021-22,6,6,495500
IR-E-C-16539,2020-21,0,0,0
IR-E-C-16539,2019-20,0,0,0
IR-E-C-16560,2023-24,13,10,8638700
IR-E-C-16560,2022-23,0,0,0
IR-E-C-16560,2021-22,0,0,0
IR-E-C-16618,2023-24,12,12,155069566
IR-E-C-16618,2022-23,0,0,0
IR-E-C-16618,2021-22,0,0,0
IR-E-C-16525,2018-19,7,15,17590000
IR-E-C-16525,2017-18,0,0,0
IR-E-C-16525,2016-17,0,0,0
IR-E-C-16480,2023-24,0,0,0
IR-E-C-16480,2022-23,0,0,0
IR-E-C-16480,2021-22,0,0,0
IR-E-C-16611,2023-24,11,8,10181000
IR-E-C-16611,2022-23,0,0,0
IR-E-C-16611,2021-22,0,0,0
IR-E-C-16604,2023-24,82,16,125391794
IR-E-C-16604,2022-23,0,0,0
IR-E-C-16604,2021-22,0,0,0
IR-E-I-1078,2023-24,22,11,12540000
IR-E-I-1078,2022-23,0,0,0
IR-E-I-1078,2021-22,0,0,0
IR-E-C-16617,2023-24,1,1,234652
IR-E-C-16617,2022-23,0,0,0
IR-E-C-16617,2021-22,0,0,0
IR-E-C-16530,2023-24,1,2,375043
IR-E-C-16530,2022-23,0,0,0
IR-E-C-16530,2021-22,0,0,0
IR-E-C-16625,2023-24,0,0,0
IR-E-C-16625,2022-23,0,0,0
IR-E-C-16625,2021-22,0,0,0
IR-E-C-16549,2023-24,1,1,10000
IR-E-C-16549,2022-23,0,0,0
IR-E-C-16549,2021-22,0,0,0
IR-E-C-16576,2023-24,18,9,17441262
IR-E-C-16576,2022-23,0,0,0
IR-E-C-16576,2021-22,0,0,0
IR-E-C-16567,2022-23,1,1,7500
IR-E-C-16567,2021-22,0,0,0
IR-E-C-16567,2020-21,0,0,0
IR-E-C-16521,2021-22,0,0,0
IR-E-C-16521,2020-21,0,0,0
IR-E-C-16521,2019-20,0,0,0
IR-E-C-16543,2023-24,12,7,1125000
IR-E-C-16543,2022-23,0,0,0
IR-E-C-16543,2021-22,0,0,0
IR-E-C-16599,2023-24,14,14,5151000
IR-E-C-16599,2022-23,0,0,0
IR-E-C-16599,2021-22,0,0,0
IR-E-C-16468,2023-24,14,14,169800
IR-E-C-16468,2022-23,0,0,0
IR-E-C-16468,2021-22,0,0,0
IR-E-C-16504,2020-21,0,0,0
IR-E-C-16577,2023-24,9,9,385000
IR-E-C-16577,2022-23,0,0,0
IR-E-C-16577,2021-22,0,0,0
IR-E-C-16541,2021-22,1,1,200000
IR-E-C-16541,2020-21,0,0,0
IR-E-C-16541,2019-20,0,0,0
IR-E-C-16624,2023-24,7,7,925000
IR-E-C-16624,2022-23,0,0,0
IR-E-C-16624,2021-22,0,0,0
IR-E-C-16486,2023-24,0,0,0
IR-E-C-16486,2022-23,0,0,0
IR-E-C-16486,2021-22,0,0,0
IR-E-C-16615,2022-23,5,5,878250
IR-E-C-16615,2021-22,0,0,0
IR-E-C-16615,2020-21,0,0,0
IR-E-C-16515,2017-18,0,0,0
IR-E-C-16515,2016-17,0,0,0
IR-E-C-16515,2015-16,0,0,0
IR-E-C-36969,2023-24,0,4,0
IR-E-C-36969,2022-23,0,0,0
IR-E-C-36969,2021-22,0,0,0
IR-E-C-36990,2022-23,1,2,1200000
IR-E-C-36990,2021-22,0,0,0
IR-E-C-36990,2020-21,0,0,0
IR-E-C-27076,2022-23,0,0,0
IR-E-C-27076,2021-22,0,0,0
IR-O-C-36937,2023-24,2,2,329000
IR-O-C-36937,2022-23,0,0,0
IR-O-C-36937,2021-22,0,0,0
IR-O-C-37031,2023-24,0,0,0
IR-O-C-37031,2022-23,0,0,0
IR-O-C-37031,2021-22,0,0,0
IR-B-U-0448,2023-24,73,22,440294426
IR-B-U-0448,2022-23,0,0,0
IR-B-U-0448,2021-22,0,0,0
IR-M-C-16488,2019-20,0,0,0
IR-M-C-16488,2018-19,0,0,0
IR-M-C-16488,2017-18,0,0,0
IR-E-C-16554,2024-25,0,0,0
IR-E-C-16554,2023-24,0,0,0
IR-E-C-16554,2022-23,0,0,0
IR-E-C-37105,2024-25,1,1,12000000
IR-E-C-37105,2023-24,0,0,0
IR-E-C-37105,2022-23,0,0,0
IR-E-C-16521,2023-24,1,1,3000000
IR-E-C-16521,2022-23,0,0,0
IR-E-C-16580,2024-25,0,0,0
IR-E-C-16580,2023-24,0,0,0
IR-E-C-16580,2022-23,0,0,0
IR-E-C-27076,2024-25,2,2,50000
IR-E-C-27076,2023-24,0,0,0
IR-E-C-25066,2024-25,13,13,41661159
IR-E-C-25066,2023-24,0,0,0
IR-E-C-25066,2022-23,0,0,0
IR-E-C-26785,2024-25,3,3,265000
IR-E-C-26785,2023-24,0,0,0
IR-E-C-26797,2024-25,0,0,0
IR-E-C-26797,2023-24,0,0,0
IR-E-C-16488,2024-25,0,0,0
IR-E-C-16488,2023-24,0,0,0
IR-E-C-16488,2022-23,0,0,0
IR-E-C-26795,2024-25,1,1,7570000
IR-E-C-26795,2023-24,0,0,0
IR-E-C-27041,2024-25,0,0,0
IR-E-C-16526,2023-24,5,6,3875000
IR-E-C-16526,2022-23,0,0,0
IR-E-C-16526,2021-22,0,0,0
IR-E-C-25028,2024-25,1,1,600000
IR-E-C-25028,2023-24,0,0,0
IR-E-C-26807,2024-25,1,1,7500
IR-E-C-26807,2023-24,0,0,0
IR-E-C-16541,2024-25,3,3,1857500
IR-E-C-16541,2023-24,0,0,0
IR-E-C-16541,2022-23,0,0,0
IR-O-C-24992,2023-24,9,7,215000
IR-O-C-24992,2022-23,0,0,0
IR-O-C-24992,2021-22,0,0,0
IR-O-C-37031,2024-25,0,0,0
