nirf_id,program_level,program_duration,academic_year,sanctioned_intake
IR-E-C-37003,UG,4 Years,2018-19,240
IR-E-C-37003,UG,4 Years,2017-18,240
IR-E-C-37003,PG,2 Years,2020-21,54
IR-E-C-37003,PG,2 Years,2019-20,54
IR-E-C-39247,UG,4 Years,2024-25,990
IR-E-C-39247,UG,4 Years,2023-24,990
IR-E-C-39247,UG,4 Years,2022-23,930
IR-E-C-39247,UG,4 Years,2021-22,900
IR-E-C-39247,PG,2 Years,2024-25,84
IR-E-C-39247,PG,2 Years,2023-24,84
IR-E-C-37000,UG,4 Years,2023-24,1560
IR-E-C-37000,UG,4 Years,2022-23,1560
IR-E-C-37000,UG,4 Years,2021-22,1140
IR-E-C-37000,UG,4 Years,2020-21,1140
IR-E-C-37000,PG,2 Years,2023-24,72
IR-E-C-37000,PG,2 Years,2022-23,72
IR-E-C-16490,UG,4 Years,2023-24,780
IR-E-C-16490,UG,4 Years,2022-23,780
IR-E-C-16490,UG,4 Years,2021-22,660
IR-E-C-16490,UG,4 Years,2020-21,720
IR-E-C-16490,PG,2 Years,2023-24,21
IR-E-C-16490,PG,2 Years,2022-23,21
IR-E-C-46528,UG,4 Years,2023-24,660
IR-E-C-46528,UG,4 Years,2022-23,660
IR-E-C-46528,UG,4 Years,2021-22,660
IR-E-C-46528,UG,4 Years,2020-21,660
IR-E-C-46528,PG,2 Years,2023-24,36
IR-E-C-46528,PG,2 Years,2022-23,36
IR-E-C-36980,UG,4 Years,2022-23,480
IR-E-C-36980,UG,4 Years,2021-22,480
IR-E-C-36980,UG,4 Years,2020-21,480
IR-E-C-36980,UG,4 Years,2019-20,480
IR-E-C-36980,PG,2 Years,2022-23,108
IR-E-C-36980,PG,2 Years,2021-22,108
IR-E-C-36966,UG,4 Years,2023-24,720
IR-E-C-36966,UG,4 Years,2022-23,720
IR-E-C-36966,UG,4 Years,2021-22,420
IR-E-C-36966,UG,4 Years,2020-21,420
IR-E-C-36966,PG,2 Years,2023-24,72
IR-E-C-36966,PG,2 Years,2022-23,72
IR-E-C-37028,UG,4 Years,2023-24,1200
IR-E-C-37028,UG,4 Years,2022-23,1170
IR-E-C-37028,UG,4 Years,2021-22,1050
IR-E-C-37028,UG,4 Years,2020-21,1110
IR-E-C-37028,PG,2 Years,2023-24,84
IR-E-C-37028,PG,2 Years,2022-23,84
IR-E-C-37022,UG,4 Years,2023-24,540
IR-E-C-37022,UG,4 Years,2022-23,540
IR-E-C-37022,UG,4 Years,2021-22,540
IR-E-C-37022,UG,4 Years,2020-21,600
IR-E-C-37022,PG,2 Years,2023-24,42
IR-E-C-37022,PG,2 Years,2022-23,42
IR-E-C-36944,UG,4 Years,2023-24,1230
IR-E-C-36944,UG,4 Years,2022-23,1080
IR-E-C-36944,UG,4 Years,2021-22,1080
IR-E-C-36944,UG,4 Years,2020-21,1050
IR-E-C-36944,PG,2 Years,2023-24,45
IR-E-C-36944,PG,2 Years,2022-23,45
IR-E-C-37074,UG,4 Years,2023-24,660
IR-E-C-37074,UG,4 Years,2022-23,660
IR-E-C-37074,UG,4 Years,2021-22,660
IR-E-C-37074,UG,4 Years,2020-21,720
IR-E-C-37074,PG,2 Years,2023-24,90
IR-E-C-37074,PG,2 Years,2022-23,90
IR-E-C-37068,UG,4 Years,2023-24,480
IR-E-C-37068,UG,4 Years,2022-23,480
IR-E-C-37068,UG,4 Years,2021-22,480
IR-E-C-37068,UG,4 Years,2020-21,480
IR-E-C-37068,PG,2 Years,2023-24,72
IR-E-C-37068,PG,2 Years,2022-23,72
IR-E-C-37006,UG,4 Years,2023-24,300
IR-E-C-37006,UG,4 Years,2022-23,300
IR-E-C-37006,UG,4 Years,2021-22,240
IR-E-C-37006,UG,4 Years,2020-21,360
