nirf_id,program_level,male_students,female_students,total_students,within_state,outside_state,outside_country,economically_backward,socially_challenged,full_fee_reimbursement
IR-E-C-25054,UG [4 Years Program(s)],1303,647,1950,1844,104,2,378,1525,223
IR-E-C-25054,PG [2 Year Program(s)],2,19,21,19,2,0,0,15,0
IR-E-C-25002,UG [4 Years Program(s)],656,430,1086,1074,12,0,1,1073,271
IR-E-C-25002,PG [2 Year Program(s)],16,17,33,32,1,0,0,32,10
IR-E-C-25016,UG [4 Years Program(s)],366,101,467,467,0,0,0,410,238
IR-E-C-25016,PG [2 Year Program(s)],29,7,36,36,0,0,0,36,24
IR-E-C-25007,UG [4 Years Program(s)],695,222,917,917,0,0,6,911,326
IR-E-C-25007,PG [2 Year Program(s)],3,2,5,5,0,0,0,5,3
IR-E-C-25028,UG [4 Years Program(s)],1059,402,1461,1459,2,0,346,1115,148
IR-E-C-25028,PG [2 Year Program(s)],10,2,12,12,0,0,12,0,0
IR-E-C-25004,UG [4 Years Program(s)],962,702,1664,1663,1,0,664,1000,115
IR-E-C-24993,UG [4 Years Program(s)],810,349,1159,1159,0,0,0,1148,166
IR-E-C-24993,PG [2 Year Program(s)],5,26,31,31,0,0,0,31,14
IR-E-C-24984,UG [4 Years Program(s)],3542,1508,5050,4702,348,0,41,4661,1101
IR-E-C-24984,PG [2 Year Program(s)],7,12,19,19,0,0,0,18,0
IR-E-C-50925,UG [4 Years Program(s)],698,398,1096,1090,6,0,690,406,112
IR-E-C-25012,UG [4 Years Program(s)],1153,578,1731,1731,0,0,290,810,245
IR-E-C-25012,PG [2 Year Program(s)],137,91,228,228,0,0,48,43,28
IR-E-C-25046,UG [4 Years Program(s)],1405,422,1827,1812,15,0,19,1808,348
IR-E-C-1377,UG [4 Years Program(s)],1470,1073,2543,2078,463,2,186,1186,1165
IR-E-C-1377,PG [2 Year Program(s)],139,115,254,153,101,0,21,56,56
IR-E-U-0443,UG [4 Years Program(s)],2308,790,3098,3087,11,0,0,2200,1349
IR-E-U-0443,PG [2 Year Program(s)],33,23,56,55,1,0,0,32,6
IR-E-C-25010,UG [4 Years Program(s)],790,355,1145,1144,1,0,651,463,483
IR-E-C-25010,PG [2 Year Program(s)],65,58,123,123,0,0,49,14,14
IR-E-C-25006,UG [4 Years Program(s)],1558,1227,2785,2777,8,0,35,2636,312
IR-E-C-25006,PG [2 Year Program(s)],6,12,18,18,0,0,1,17,1
IR-E-C-25022,UG [4 Years Program(s)],498,303,801,801,0,0,543,213,233
IR-E-C-25012,UG [4 Years Program(s)],1153,578,1731,1731,0,0,290,810,245
IR-E-C-25012,PG [2 Year Program(s)],137,91,228,228,0,0,48,43,28
IR-E-C-16537,UG [4 Years Program(s)],3782,2067,5849,4972,805,72,119,5431,639
IR-E-C-16537,PG [2 Year Program(s)],8,11,19,17,2,0,0,19,0
IR-E-I-1119,UG [4 Years Program(s)],669,313,982,975,7,0,0,951,175
IR-E-I-1119,PG [2 Year Program(s)],52,33,85,84,1,0,0,79,2
IR-E-C-25043,UG [4 Years Program(s)],759,326,1085,1085,0,0,285,800,800
IR-E-C-25043,PG [2 Year Program(s)],6,1,7,7,0,0,0,6,6
IR-E-C-25031,UG [4 Years Program(s)],143,92,235,235,0,0,0,184,102
IR-E-C-25069,UG [4 Years Program(s)],253,104,357,357,0,0,100,126,126
IR-E-C-25069,PG [2 Year Program(s)],17,20,37,37,0,0,17,0,17
IR-E-C-16503,UG [4 Years Program(s)],706,416,1122,1109,13,0,335,9,0
IR-E-C-16503,PG [2 Year Program(s)],45,36,81,81,0,0,0,0,0
IR-E-C-25005,UG [4 Years Program(s)],382,81,463,463,0,0,0,460,369
IR-E-C-25005,PG [2 Year Program(s)],48,31,79,79,0,0,0,77,56
IR-E-C-25062,UG [4 Years Program(s)],394,190,584,584,0,0,0,584,186
IR-E-C-25038,UG [4 Years Program(s)],823,367,1190,1189,1,0,460,625,299
IR-E-C-25038,PG [2 Year Program(s)],0,7,7,7,0,0,2,5,5
IR-E-C-25024,UG [4 Years Program(s)],459,845,1304,1298,6,0,501,151,197
IR-E-C-25024,PG [2 Year Program(s)],0,4,4,4,0,0,0,2,0
IR-E-C-27035,UG [4 Years Program(s)],873,777,1650,1649,1,0,0,1042,206
IR-E-C-48273,UG [4 Years Program(s)],1495,743,2238,2089,149,0,0,1962,1756
IR-E-C-48273,PG [2 Year Program(s)],129,222,351,342,9,0,0,320,9
IR-E-C-60622,UG [4 Years Program(s)],798,385,1183,1169,14,0,48,1135,118
IR-E-C-60622,PG [2 Year Program(s)],15,16,31,26,5,0,3,28,0
IR-E-C-49144,UG [4 Years Program(s)],1284,740,2024,2016,8,0,516,1405,675
IR-E-C-49144,UG [4 Years Program(s)],1284,740,2024,2016,8,0,516,1405,675
IR-E-C-49144,UG [4 Years Program(s)],1284,740,2024,2016,8,0,516,1405,675
IR-E-C-27074,UG [4 Years Program(s)],511,308,819,819,0,0,0,819,28
IR-E-C-27074,PG [2 Year Program(s)],3,6,9,9,0,0,0,9,0
IR-E-C-27064,UG [4 Years Program(s)],3224,1089,4313,4301,12,0,832,3419,1740
IR-E-C-27064,PG [2 Year Program(s)],70,72,142,142,0,0,5,129,17
IR-E-C-27071,UG [4 Years Program(s)],403,253,656,656,0,0,209,447,192
IR-E-C-16620,UG [4 Years Program(s)],4928,3923,8851,6303,2548,0,738,7837,1270
IR-E-C-16620,PG [2 Year Program(s)],7,19,26,26,0,0,3,23,0
IR-E-C-27061,UG [4 Years Program(s)],0,1813,1813,1798,15,0,1270,39,606
IR-E-C-27061,PG [2 Year Program(s)],0,328,328,328,0,0,237,8,12
IR-E-C-27093,UG [4 Years Program(s)],327,152,479,473,6,0,392,87,122
IR-E-C-27093,PG [2 Year Program(s)],90,119,209,206,3,0,181,28,13
IR-E-C-27038,UG [4 Years Program(s)],401,313,714,713,1,0,513,53,0
IR-E-C-27038,PG [2 Year Program(s)],3,3,6,6,0,0,4,2,0
IR-E-C-16626,UG [4 Years Program(s)],4315,3623,7938,5171,2606,161,1169,4858,681
IR-E-C-16626,PG [2 Year Program(s)],94,145,239,181,56,2,59,171,74
IR-E-C-27091,UG [4 Years Program(s)],1830,877,2707,2635,72,0,302,2405,355
IR-E-C-27091,PG [2 Year Program(s)],90,87,177,177,0,0,13,164,5
IR-E-C-27075,UG [4 Years Program(s)],1365,956,2321,2319,2,0,1805,516,183
IR-E-C-27075,PG [2 Year Program(s)],1,1,2,2,0,0,0,0,0
IR-E-C-27058,UG [4 Years Program(s)],2213,1654,3867,3846,21,0,1312,2222,1466
IR-E-C-27058,PG [2 Year Program(s)],32,22,54,52,2,0,32,22,2
IR-E-C-27041,UG [4 Years Program(s)],1311,305,1616,1584,32,0,630,433,422
IR-E-C-27041,PG [2 Years Program(s)],165,70,235,224,11,0,89,77,77
IR-E-C-27082,UG [4 Years Program(s)],1362,735,2097,2094,3,0,0,2086,249
IR-E-C-27082,PG [2 Year Program(s)],53,61,114,114,0,0,0,112,3
IR-E-C-27082,PG [2 Year Program(s)],53,66,119,119,0,0,0,117,4
IR-E-C-27082,UG [4 Years Program(s)],1362,735,2097,2094,3,0,0,2086,249
IR-E-C-27082,PG [2 Year Program(s)],106,127,233,233,0,0,0,229,7
IR-E-C-27082,UG [4 Years Program(s)],1362,735,2097,2094,3,0,0,2086,249
IR-E-C-27082,PG [2 Year Program(s)],106,127,233,233,0,0,0,229,4
IR-E-C-27082,UG [4 Years Program(s)],1362,735,2097,2094,3,0,0,2086,249
IR-E-C-27082,PG [2 Year Program(s)],106,127,233,233,0,0,0,229,7
IR-E-C-6580,UG [4 Years Program(s)],606,359,965,730,235,0,75,784,55
IR-E-C-6580,PG [2 Year Program(s)],38,29,67,36,31,0,0,8,0
IR-E-C-27095,UG [4 Years Program(s)],448,169,617,615,2,0,502,115,115
IR-E-C-27095,UG [4 Years Program(s)],448,169,617,615,2,0,502,115,115
IR-E-C-27077,UG [4 Years Program(s)],1287,643,1930,1903,27,0,0,1829,63
IR-E-C-27077,PG [2 Year Program(s)],23,21,44,44,0,0,1,43,0
IR-E-C-27084,UG [4 Years Program(s)],322,214,536,530,6,0,448,88,88
IR-E-C-27032,UG [4 Years Program(s)],130,56,186,186,0,0,0,76,37
IR-E-C-27032,PG [2 Year Program(s)],64,54,118,118,0,0,0,32,1
IR-E-C-27041,UG [4 Years Program(s)],1311,305,1616,1584,32,0,630,433,422
IR-E-C-27041,PG [2 Years Program(s)],165,70,235,224,11,0,89,77,77
IR-E-C-16590,UG [4 Years Program(s)],3938,1859,5797,5346,451,0,362,3643,1885
IR-E-C-16590,PG [2 Year Program(s)],81,83,164,160,4,0,6,121,0
IR-E-C-27087,UG [4 Years Program(s)],747,364,1111,1101,10,0,0,1083,376
IR-E-C-27087,PG [2 Year Program(s)],1,13,14,14,0,0,0,14,0
IR-E-C-27051,UG [4 Years Program(s)],531,404,935,931,4,0,505,151,208
IR-E-C-27082,UG [4 Years Program(s)],1362,735,2097,2094,3,0,0,2086,249
IR-E-C-27082,PG [2 Year Program(s)],53,61,114,114,0,0,0,112,3
IR-E-C-27082,PG [2 Year Program(s)],53,66,119,119,0,0,0,117,4
IR-E-C-27082,UG [4 Years Program(s)],1362,735,2097,2094,3,0,0,2086,249
IR-E-C-27082,PG [2 Year Program(s)],106,127,233,233,0,0,0,229,7
IR-E-C-27082,UG [4 Years Program(s)],1362,735,2097,2094,3,0,0,2086,249
IR-E-C-27082,PG [2 Year Program(s)],106,127,233,233,0,0,0,229,4
IR-E-C-27082,UG [4 Years Program(s)],1362,735,2097,2094,3,0,0,2086,249
IR-E-C-27082,PG [2 Year Program(s)],106,127,233,233,0,0,0,229,7
IR-E-C-26794,UG [4 Years Program(s)],2359,1513,3872,3834,38,0,794,2880,1285
IR-E-C-26794,PG [2 Year Program(s)],58,58,116,116,0,0,8,93,0
IR-E-C-51677,UG [4 Years Program(s)],648,365,1013,1013,0,0,0,1003,49
IR-E-C-16491,UG [4 Years Program(s)],252,121,373,368,5,0,262,111,134
IR-E-C-16491,UG [5 Years Program(s)],9,0,9,9,0,0,3,6,2
IR-E-C-16491,PG [2 Year Program(s)],27,21,48,48,0,0,24,24,12
IR-E-C-45320,UG [4 Years Program(s)],770,559,1329,1328,1,0,0,197,134
IR-E-C-45320,PG [2 Year Program(s)],1,3,4,4,0,0,0,1,1
IR-E-C-49137,UG [4 Years Program(s)],501,615,1116,1116,0,0,536,580,273
IR-E-C-26811,UG [4 Years Program(s)],795,337,1132,1129,3,0,100,222,113
IR-E-C-26811,PG [2 Year Program(s)],65,67,132,132,0,0,0,132,0
IR-E-C-56319,UG [4 Years Program(s)],378,547,925,924,1,0,9,916,147
IR-E-C-56319,PG [2 Year Program(s)],9,4,13,13,0,0,4,9,9
IR-E-C-26789,UG [4 Years Program(s)],1049,622,1671,1668,3,0,30,1632,940
IR-E-C-26789,PG [2 Year Program(s)],32,29,61,61,0,0,0,61,61
IR-E-C-26785,UG [4 Years Program(s)],1195,620,1815,1815,0,0,1752,63,63
IR-E-C-26785,PG [2 Year Program(s)],6,8,14,14,0,0,12,2,2
